FID,ReachID,Name,Location,County,Basin,WaterType,Uses,Size,SizeUnit,Notes,Assessment,Category,Cause,Source,DataSource,Priority,ObjectID,Shape__Area,Shape__Length
1,GAR031300010516,Lake Qualatchee,"Northwest of Cleveland, GA",White,Chattahoochee,Lake,Fishing,39.5,Acres, ,Supporting,1, , ,1, ,10,236991.703125,4191.47023780825
2,GAR060200030118,Winfield Scott Lake,Union County,Union,Tennessee,Lake,Fishing,17,Acres, ,Supporting,1, , ,12, ,106,103703.2734375,1656.95971210975
3,GAR031501080909,John Tanner Lake (upper lake),"John Tanner State Park, Carroll County",Carroll,Tallapoosa,Lake,Fishing,16,Acres, ,Supporting,1, , ,58, ,101,93948.4375,1410.966231545
4,GAR031300040203,Yohola Lake,"Kolomoki Mounds State Park, Early County",Early,Chattahoochee,Lake,Fishing,29,Acres,Fish Tissue (Mercury) is in Category 3 because the concentration is between 0.25 mg/kg and 0.30 mg/kg.,Assessment Pending,3, , ,1, ,22,164067.59765625,3517.82802618821
5,GAR030701030211,Shamrock Lake,Clayton County,Clayton,Ocmulgee,Lake,Fishing,61,Acres, ,Supporting,1, , ,"1,42", ,57,355587.1328125,4755.89571834439
6,GAR030701020905,Hugh M Gillis PFA,Laurens County,Laurens,Oconee,Lake,Fishing,111,Acres,The water is in Category 3 because there is only fish tissue data available for assessment.  Additional water quality data is needed to assess the water.,Assessment Pending,3, , ,1, ,62,636052.80078125,7775.9878651874
7,GAR030701010313,Bear Creek Reservoir,Jackson County,Jackson,Oconee,Lake,Fishing,439,Acres,The water is in Category 3 for Fish Tissue (Mercury) because the trophic weighted residue concentration is between 0.25 and 0.3 mg/kg.,Assessment Pending,3, , ,1, ,60,2589239.43359375,17942.8769393032
8,GAR031501080811,Carroll Lake,Carrollton,Carroll,Tallapoosa,Lake,Fishing,420,Acres, ,Supporting,1, , ,6, ,100,948748.66015625,8080.53435592369
9,GAR030601080212,McDuffie PFA Ponds,McDuffie County PFA,McDuffie,Savannah,Lake,Fishing,148.8,Acres, ,Not Supporting,5,Fish Tissue (PCBs),NP,1,2034,88,865170.19921875,18970.4295046654
10,GAR030701011715,Sinclair Lake,Murder Creek/Little River Arms,"Baldwin, Putnam",Oconee,Lake,"Fishing, Drinking Water, Recreation",3168,Acres, ,Supporting,1, , ,1, ,69,18343243.7617188,184708.927322661
11,GAR030701011808,Sinclair Lake,"Intersection of Putnam, Baldwin, and Hancock Counties","Putnam, Baldwin, Hancock",Oconee,Lake,"Drinking Water, Recreation, Fishing",693,Acres,TMDL completed Temp 2002.,Supporting,1, , ,"1,3", ,70,4014532.71875,29172.0335853356
12,GAR030701011814,Sinclair Lake,Oconee River Arm,"Hancock, Putnam, Greene",Oconee,Lake,"Fishing, Drinking Water, Recreation",5114,Acres,Chlorophyll a is in Category 3 because the growing season average was exceeded once in the last 2 years (criteria became effective in 2022).,Assessment Pending,3, , ,1, ,71,29684013.6054688,255111.116797597
13,GAR030701011813,Sinclair Lake,Dam Pool,"Hancock, Baldwin",Oconee,Lake,"Fishing, Drinking Water, Recreation",4198,Acres,Chlorophyll a is in Category 3 because the growing season average was exceeded once in the last 2 years (criteria became effective in 2022).,Assessment Pending,3, , ,1, ,72,24315007.4140625,154154.105509718
14,GAR030701011109,Oconee Lake,Richland Creek Arm,Greene,Oconee,Lake,"Fishing, Drinking Water, Recreation",4353,Acres, ,Supporting,1, , ,1, ,65,25360219.7265625,144437.26725366
15,GAR030701011315,Oconee Lake,Oconee River Arm,"Putnam, Morgan, Greene",Oconee,Lake,"Fishing, Drinking Water, Recreation",13091,Acres, ,Supporting,1, , ,1, ,64,76386503.4023438,259882.934529501
16,GAR030701011316,Oconee Lake,Dam Pool,"Putnam, Greene, Hancock",Oconee,Lake,"Fishing, Drinking Water, Recreation",1058,Acres, ,Supporting,1, , ,1, ,66,6152790.61328125,23128.4713199839
17,GAR031501040910,Acworth Lake,Upper/Mid-Lake Cobb County,Cobb,Coosa,Lake,Fishing,194,Acres,TMDL completed Bacteria 2004 (Bacteria Indicator Supplement 2022).,Not Supporting,4a,Bacteria,UR,"1,14,35", ,23,1027677.51953125,6795.33291329699
18,GAR031300080102,Albany By-Pass Pond,Dougherty County,Dougherty,Flint,Lake,Fishing,20,Acres,TMDL completed Fish Tissue (DDE/DDD) 2003.  The water is in Category 3 because the only data we have to assess is fish tissue data.  Water quality data is needed to make a use assessment.,Assessment Pending,3, , ,1, ,36,124013.06640625,1471.61223459682
19,GAR031501040911,Allatoona Lake,Allatoona Creek Arm,"Cobb, Bartow",Coosa,Lake,"Drinking Water, Recreation, Fishing",3515,Acres,TMDL completed Fish Tissue (PCBs) 1998.  TMDL completed chlorophyll a 2004 (revised 2013).,Not Supporting,"4a, 5","Chlorophyll a, Fish Tissue (PCBs), Fish Tissue (Thallium)","NP, UR",1,2033,27,13560424.15625,89366.8110946167
20,GAR031501041013,Allatoona Lake,Dam Pool,Bartow,Coosa,Lake,"Drinking Water, Recreation, Fishing",2806,Acres,"TMDLs completed Fish Tissue (PCBs) 1998 & Chlorophyll a 2004 (revised 2013).   The source of Chlorophyll a is NP, UR, M & I1.  The source of Fish Tissue (PCBs) and Fish Tissue (Thallium) is NP & UR.",Not Supporting,"4a, 5","Chlorophyll a, Fish Tissue (PCBs), Fish Tissue (Thallium)","NP, UR, M, I1","1,58",2033,25,16628116.171875,158080.105217934
21,GAR031501041011,Allatoona Lake,Etowah River Arm,Cherokee,Coosa,Lake,"Drinking Water, Recreation, Fishing",2785,Acres,"TMDL completed Fish Tissue (PCBs) 1998.  TMDL completed chlorophyll a 2004 (revised 2013).  The source of Chlorophyll a is NP, UR, M & I1.  The source of Fish Tissue (PCBs) and Fish Tissue (Thallium) is NP & UR.",Not Supporting,"4a, 5","Chlorophyll a, Fish Tissue (PCBs), Fish Tissue (Thallium)","NP, UR, M, I1",1,2033,26,14232027.796875,104487.093763212
22,GAR031501040809,Allatoona Lake,Little River Embayment,Cherokee,Coosa,Lake,"Drinking Water, Recreation, Fishing",1395,Acres,TMDLs completed Chlorophyll a 2004 (revised 2013); Bacteria (2004) (Bacteria Indicator Supplement 2022); Fish Tissue (PCBs) (1998),Not Supporting,"4a, 5","Chlorophyll a, Fish Tissue (PCBs), Fish Tissue (Thallium)","NP, UR",1,2033,28,5281312.95703125,57809.2882725518
23,GAR031501041012,Allatoona Lake,Mid Lake,"Cherokee, Bartow",Coosa,Lake,"Drinking Water, Recreation, Fishing",2825,Acres,"TMDLs completed Fish Tissue (PCBs) 1998 and chlorophyll a 2013.  The source of Chlorophyll a is NP, UR, M & I1.  The source of Fish Tissue (PCBs) and Fish Tissue (Thallium) is NP & UR.",Not Supporting,"4a, 5","Chlorophyll a, Fish Tissue (PCBs), Fish Tissue (Thallium)","NP, UR, M, I1",1,2033,24,19572442.6171875,122245.81005844
24,GAR030701060508,Altamaha Sound,McIntosh County,McIntosh,Altamaha,Sound/Harbor,"Fishing, Recreation",3,Square Miles,The Fishing Use is impaired for Fish Tissue (Mercury).   There is not data available to assess the Recreation Use.,Not Supporting,5,Fish Tissue (Mercury),NP,"1,5,55",2030,1,11968368.7070313,38649.8237038701
25,GAR031501030408,Antioch Lake,"Rocky Mountain PFA, Floyd County",Floyd,Coosa,Lake,"Fishing, Recreation",357,Acres, ,Supporting,1, , ,"1,58", ,29,2220841.7421875,18029.113712114
26,GAR031102020911,Banks Lake,Lanier County,Lanier,Suwannee,Lake,Fishing,2900,Acres,DO is in Category 3N.  Low DO may be natural due to the water being a blackwater stream.,Not Supporting,5,Fish Tissue (Mercury),NP,1,2031,98,44950600.9648438,48005.4982063224
27,GAR031300060612,Blackshear Lake,"Crisp, Sumter, Lee, Dooly Counties","Crisp, Sumter, Dooly, Lee",Flint,Lake,"Recreation, Fishing",8518,Acres, ,Supporting,1, , ,"1,58", ,37,39559233.5957031,110178.311144116
28,GAR030701030210,Blalock Lake,Clayton County,Clayton,Ocmulgee,Lake,Fishing,260,Acres, ,Supporting,1, , ,"1,42", ,46,1535525.4296875,10484.4023356696
29,GAR060200030117,Blue Ridge Lake,Fannin County,Fannin,Tennessee,Lake,"Recreation, Fishing",3219,Acres,The Recreation Use is being met.  The Fishing Use is impaired for Fish Tissue (PCBs).,Not Supporting,5,Fish Tissue (PCBs),NP,"1,58",2033,102,19959646.9765625,122437.018980926
30,GAR030701010917,Brantley Lake,Hard Labor Creek State Park,Morgan,Oconee,Lake,Fishing,45,Acres,TMDL completed DO 2002.,Supporting,1, , ,1, ,61,186141.2890625,3725.0709020642
31,GAR030601020109,Burton Lake,Rabun County,Rabun,Savannah,Lake,"Recreation, Fishing",2775,Acres, ,Supporting,1, , ,1, ,84,14966940.1054688,99979.668766973
32,GAR030701060507,Buttermilk Sound,McIntosh and Glynn Counties,"McIntosh, Glynn",Altamaha,Sound/Harbor,Fishing,3,Square Miles, ,Supporting,1, , ,"1,5,55", ,2,9562432.296875,24211.7073448027
33,GAR031501020408,Carters Lake,Coosawattee River Embayment,Gilmer,Coosa,Lake,"Drinking Water, Recreation, Fishing",1280,Acres,TMDL completed Total P & chlorophyll a 2016.,Not Supporting,4a,Chlorophyll a,"NP, M",1, ,30,7803293.00390625,55793.998223042
34,GAR031501020406,Carters Lake,US Woodring Branch/Midlake,Gilmer,Coosa,Lake,"Drinking Water, Recreation, Fishing",1472,Acres,TMDL completed for Total P & Chlorophyll a 2016.,Not Supporting,4a,Chlorophyll a,"NP, UR",1, ,31,8573064.0078125,47663.3319386217
35,GAR060200020111,Chatuge Lake,Towns County,Towns,Tennessee,Lake,"Drinking Water, Recreation, Fishing",7050,Acres,The Drinking Water and Recreation uses are being met.  The Fishing use is impaired for Fish Tissue (PCBs).,Not Supporting,5,Fish Tissue (PCBs),NP,"1,13",2033,103,20478287.5234375,123688.895378548
36,GAR030701031025,Chief McIntosh Lake,Butts County,Butts,Ocmulgee,Lake,"Fishing, Recreation",105,Acres, ,Supporting,1, , ,58, ,47,536346.52734375,7238.20060973801
37,GAR030601030704,Clarks Hill Lake,Lincoln & Columbia Counties,"Lincoln, Columbia",Savannah,Lake,"Drinking Water, Recreation, Fishing",69999,Acres, ,Supporting,1, , ,"1,58", ,85,270650194.402344,1148740.15951728
38,GAR031501010210,Conasauga Lake,Murray County,Murray,Coosa,Lake,Fishing,14,Acres, ,Supporting,1, , ,12, ,33,88186.76171875,1668.74914681535
39,GAR030702030505,Cumberland Sound,Camden County,Camden,Satilla,Sound/Harbor,Fishing,9,Square Miles, ,Supporting,1, , ,"1,5", ,79,31393048.3027344,80165.8708543897
40,GAR030602040623,Doboy Sound,McIntosh County,McIntosh,Ogeechee,Sound/Harbor,"Fishing, Recreation",6,Square Miles,The water is supporting its Fishing Use.  There is insufficient data to assess the Recreation use.,Assessment Pending,2, , ,"1,5", ,73,20284419.7109375,33083.7856845772
41,GAR031300020336,Dog River Reservoir,Douglas County,Douglas,Chattahoochee,Lake,"Drinking Water, Fishing",225,Acres, ,Supporting,1, , ,"1,16", ,5,949860.5859375,16509.6833076273
42,GAR031501010407,Fort Mountain Lake,Murray County,Murray,Coosa,Lake,"Fishing, Recreation",17,Acres, ,Supporting,1, , ,58, ,34,95020.69921875,1807.23489157806
43,GAR031300021204,Franklin Lake,F.D. Roosevelt State Park,Harris,Chattahoochee,Lake,"Fishing, Recreation",29,Acres, ,Supporting,1, , ,58, ,6,182487.1796875,2345.24978043202
44,GAR031300021305,Goat Rock Lake,Harris County,Harris,Chattahoochee,Lake,"Drinking Water, Recreation, Fishing",941,Acres,"TMDL completed Fish Tissue (PCBs) 1998.  The water is supporting its Drinking Water and Recreation Uses, but not its Fishing Use.  The Fishing Use is impaired for Fish Tissue (PCBs)",Not Supporting,4a,Fish Tissue (PCBs),NP,1, ,7,4706359.1484375,37811.0362648715
45,GAR031300021102,Harding Lake,"Bartletts Ferry, Harris County",Harris,Chattahoochee,Lake,"Drinking Water, Recreation, Fishing",5851,Acres,"TMDL completed Fish Tissue (PCBs) 1998.  The water is supporting its Drinking Water and Recreation Uses, but not its Fishing Use.",Not Supporting,4a,Fish Tissue (PCBs),NP,"1,33,37", ,8,16781816.7929688,131298.620102948
46,GAR030601030201,Hartwell Lake,Tugaloo Arm/ Main Body,"Hart, Franklin",Savannah,Lake,"Drinking Water, Recreation, Fishing",55950,Acres,"TMDLs completed Fish Tissue (PCBs) (1998) & Cu (2000).  The water is meeting its Drinking Water and Recreation Uses, but is impaired for the Fishing Use.  Fish Tissue (Mercury) is in Category 3 because at one site the Trophic Weighted Residue was between",Not Supporting,4a,Fish Tissue (PCBs),I2,"1,58", ,87,117754524,642867.019958238
47,GAR031501030409,Heath Lake,"Rocky Mountain PFA, Floyd County",Floyd,Coosa,Lake,Fishing,202,Acres, ,Not Supporting,5,Fish Tissue (PCBs),NP,1,2033,35,917261.71875,10190.1885170422
48,GAR031300050125,J.W. Smith Reservoir,Clayton County,Clayton,Flint,Lake,Fishing,250,Acres, ,Supporting,1, , ,42, ,38,1474727.97265625,13767.2885563134
49,GAR030701030904,Jackson Lake,"Dam Pool (formerly Newton, Butts, Jasper Counties)","Newton, Butts, Jasper",Ocmulgee,Lake,"Recreation, Fishing",650,Acres,"TMDLs completed Fish Tissue (PCBs) (1998), Bacteria (2002)(revised 2023), Fish Tissue (Mercury) (2002) and Fish Tissue (Toxaphene like chlorinated camphenes) (1998).  The Recreation Use is being met.  The Fishing Use is impaired for Fish Tissue (PCBs).",Not Supporting,4a,Fish Tissue (PCBs),"NP, UR",1, ,50,4829686.1640625,30452.5724381801
50,GAR030701031313,Juliette Lake,Monroe County,Monroe,Ocmulgee,Lake,Fishing,3600,Acres, ,Supporting,1, , ,1, ,52,20698399.1835938,123183.207880827
51,GAR031300070605,Ken Gardens Lake,Dougherty County,Dougherty,Flint,Lake,Fishing,4,Acres,"Fish tissue data indicates that the lake is supporting its use, but no other types of data are available to confirm this assessment, so the water is being placed in category 3.",Assessment Pending,3, , ,1, ,39,22867.25,581.788104734842
52,GAR031300040202,Kolomoki Lake,"Kolomoki Mounds State Park, Early County",Early,Chattahoochee,Lake,"Fishing, Recreation",57,Acres, ,Supporting,1, , ,"1,58", ,9,298185.9765625,4751.11853206536
53,GAR030601050103,Federal Lake (Previously known as Liberty Lake),A.H. Stephens State Park,Taliaferro,Savannah,Lake,"Fishing, Recreation",1,Acres, ,Supporting,1, , ,58, ,86,128615.78125,2746.05285403659
54,GAR030701050203,Little Ocmulgee State Park Lake (Gum Creek Swamp),Telfair and Wheeler Counties,"Telfair, Wheeler",Ocmulgee,Lake,"Fishing, Recreation",224,Acres,"TMDL completed Fish Tissue (Mercury) 2002.  The water is supporting its Recreation Use.  Fish Tissue (Mercury) is in Category 3 for the Fishing use.  New fish tissue data has a trophic-weighted residue value below 0.25 mg/L, but there is no recent data f",Assessment Pending,2, , ,"1,58", ,54,1934219.10742188,9493.31914763701
55,GAR030701010812,Massey's Lake (Marburg Creek Watershed Project),Fort Yargo State Park,Barrow,Oconee,Lake,"Fishing, Recreation",260,Acres, ,Supporting,1, , ,58, ,63,1341765.7890625,13648.5975792076
56,GAR030601040112,Nancy Town Lake,Habersham County,Habersham,Savannah,Lake,Fishing,8,Acres, ,Supporting,1, , ,1, ,89,46282.72265625,975.802411160325
57,GAR060200020817,Nottely Lake,Union County,Union,Tennessee,Lake,"Recreation, Fishing",4180,Acres, ,Supporting,1, , ,"1,13", ,104,24455877.1367188,176398.425597108
58,GAR031300021304,Oliver Lake,Near Columbus,Muscogee,Chattahoochee,Lake,"Drinking Water, Recreation, Fishing",2150,Acres,"TMDL completed Fish Tissue (PCBs) 1998.  The water is supporting its Drinking Water and Recreation Uses, but not its Fishing Use.  The Fishing Use is impaired for Fish Tissue (PCBs), Fish Tissue (Chromium) and Fish Tissue (Antimony)",Not Supporting,"4a, 5","Fish Tissue (Antimony), Fish Tissue (Chromium), Fish Tissue (PCBs)",NP,"1,37",2032,17,8213096.21875,49990.7084738684
